Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
  196	 41.111106	 41.841998	 41.977880	 41.361250	     	  0.972073	  0.948807	  0.956886	  0.965664	     
  197	 40.422220	 41.271152	 41.513568	 40.721666	  min	  0.969922	  0.944716	  0.952899	  0.962883	     
  198	 40.387980	 41.122693	 41.303482	 40.645707	  min	  0.969904	  0.942249	  0.950575	  0.962073	     
  199	 39.828861	 40.782108	 41.000651	 40.154593	  min	  0.967990	  0.939499	  0.948029	  0.959914	     
  200	 40.213373	 41.011794	 41.204920	 40.491390	     	  0.968785	  0.940803	  0.949685	  0.960938	     
  201	 39.688112	 40.477453	 40.775532	 39.978211	  min	  0.967434	  0.935713	  0.945061	  0.958418	     
  202	 40.112655	 40.545174	 40.786351	 40.288799	     	  0.968644	  0.935211	  0.944744	  0.959089	     
  203	 39.429989	 40.261550	 40.552644	 39.731212	  min	  0.966306	  0.932870	  0.942875	  0.956828	     
  204	 39.995781	 40.619798	 40.873902	 40.231443	     	  0.967562	  0.935775	  0.945823	  0.958641	     
  205	 39.349651	 40.061238	 40.330376	 39.613192	  min	  0.966059	  0.930227	  0.939950	  0.955736	     
  206	 40.032600	 40.308159	 40.607024	 40.168893	     	  0.967808	  0.932247	  0.942243	  0.957621	     
  207	 39.251049	 39.973925	 40.292134	 39.524766	  min	  0.965455	  0.929316	  0.939406	  0.955090	     
  208	 39.835784	 40.434643	 40.809708	 40.081233	     	  0.966730	  0.933588	  0.944302	  0.957469	     
  209	 39.277792	 39.856825	 40.244033	 39.519106	  min	  0.965977	  0.927711	  0.938291	  0.954985	     
  210	 39.899786	 40.147706	 40.512465	 40.037342	     	  0.967729	  0.930386	  0.940460	  0.956960	     
  211	 39.191093	 39.766532	 40.205060	 39.438551	  min	  0.965298	  0.927360	  0.937712	  0.954377	     
  212	 39.723891	 40.235250	 40.764252	 39.965054	     	  0.966137	  0.931873	  0.942844	  0.956544	     
  213	 39.084222	 39.607942	 40.111728	 39.325532	  min	  0.964895	  0.925575	  0.936120	  0.953546	     
  214	 39.519820	 39.850210	 40.281317	 39.692649	     	  0.966287	  0.927516	  0.937442	  0.955018	     
  215	 39.061947	 39.478591	 39.954831	 39.267461	  min	  0.964713	  0.924047	  0.934041	  0.952823	     
  216	 39.613638	 40.061753	 40.620426	 39.840175	     	  0.966129	  0.930114	  0.940706	  0.955889	     
  217	 39.139271	 39.412584	 39.924670	 39.306338	     	  0.965422	  0.923436	  0.933135	  0.953043	     
  218	 39.376803	 39.764184	 40.233678	 39.572522	     	  0.966398	  0.926733	  0.936146	  0.954745	     
  219	 38.964991	 39.253393	 39.801121	 39.141809	  min	  0.964889	  0.921633	  0.931322	  0.952085	     
  220	 39.495659	 39.858800	 40.385285	 39.692172	     	  0.966110	  0.927823	  0.937124	  0.954898	     
  221	 39.031905	 39.185013	 39.784748	 39.174494	     	  0.965762	  0.921194	  0.930719	  0.952494	     
  222	 39.255110	 39.688786	 40.193636	 39.469791	     	  0.966411	  0.926274	  0.935033	  0.954492	     
  223	 38.995131	 39.084665	 39.652473	 39.113159	  min	  0.965436	  0.920100	  0.929548	  0.951898	     
  224	 39.347994	 39.700472	 40.293932	 39.550748	     	  0.965947	  0.926294	  0.935509	  0.954266	     
  225	 39.035705	 39.043069	 39.722661	 39.144171	     	  0.966017	  0.919892	  0.929901	  0.952310	     
  226	 39.324708	 39.618109	 40.323622	 39.525280	     	  0.967049	  0.926243	  0.936384	  0.955137	     
  227	 38.876870	 38.937612	 39.683271	 39.011653	  min	  0.965562	  0.918838	  0.929740	  0.951804	     
  228	 39.217541	 39.590043	 40.286665	 39.440618	     	  0.966079	  0.925746	  0.935518	  0.954264	     
  229	 38.854189	 38.916870	 39.739372	 39.000464	  min	  0.966469	  0.918924	  0.929884	  0.952447	     
  230	 39.360076	 39.547179	 40.371591	 39.544866	     	  0.967663	  0.926297	  0.936413	  0.955560	     
  231	 38.713420	 38.867131	 39.706957	 38.890152	  min	  0.966060	  0.918677	  0.929399	  0.952053	     
  232	 39.200086	 39.502701	 40.320481	 39.418812	     	  0.966268	  0.925320	  0.935071	  0.954244	     
  233	 38.781511	 38.925460	 39.695597	 38.945552	     	  0.966469	  0.919045	  0.928961	  0.952314	     
  234	 39.244301	 39.494307	 40.268353	 39.441236	     	  0.967637	  0.925611	  0.934646	  0.955134	     
  235	 38.756311	 38.855311	 39.627924	 38.906822	     	  0.966232	  0.918308	  0.928043	  0.951880	     
  236	 39.111854	 39.368472	 40.187990	 39.317017	     	  0.966151	  0.923653	  0.932960	  0.953536	     
  237	 38.772148	 38.903747	 39.697216	 38.935656	     	  0.966630	  0.918426	  0.927794	  0.952124	     
  238	 39.197132	 39.389948	 40.197248	 39.381301	     	  0.967125	  0.924248	  0.932847	  0.954266	     
  239	 39.328721	 39.351736	 40.106600	 39.453007	     	  0.968023	  0.923617	  0.931726	  0.954573	     
  240	 37.076768	 37.479278	 38.458441	 37.346272	  min	  0.950944	  0.891880	  0.910944	  0.934433	     
  241	 36.942697	 37.524884	 38.528826	 37.266759	  min	  0.953385	  0.893400	  0.911178	  0.936353	     
